ЖК рус,Район Город,Застройщик ЖК,Площадь,Тип Комнатности,Этаж,Срок сдачи,Отделка,SalePrice,Labels
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,24,4 кв 2022,Есть,23420550,0
Авиатика,Хорошевский,Э.К. Девелопмент,46.3,1,18,4 кв 2022,Есть,18476015,4
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,22,4 кв 2022,Есть,16737270,4
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,11,4 кв 2022,Есть,24531671,0
Авиатика,Хорошевский,Э.К. Девелопмент,60.5,2,16,4 кв 2022,Есть,24436350,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.3,2,20,4 кв 2022,Есть,26954595,0
Авиатика,Хорошевский,Э.К. Девелопмент,38.6,1,14,4 кв 2022,Есть,15405260,4
Авиатика,Хорошевский,Э.К. Девелопмент,46.4,1,22,4 кв 2022,Есть,18972960,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,20,4 кв 2022,Есть,26921440,0
Авиатика,Хорошевский,Э.К. Девелопмент,64.7,2,8,4 кв 2022,Есть,24269098,0
Авиатика,Хорошевский,Э.К. Девелопмент,106.4,4,14,4 кв 2022,Есть,36910160,2
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,12,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,88.8,3,3,4 кв 2022,Есть,32554080,1
Авиатика,Хорошевский,Э.К. Девелопмент,57.8,2,25,4 кв 2022,Есть,23669100,0
Авиатика,Хорошевский,Э.К. Девелопмент,52.3,1,25,4 кв 2022,Есть,22364369,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,16,4 кв 2022,Есть,25930100,0
Авиатика,Хорошевский,Э.К. Девелопмент,44.7,1,8,4 кв 2022,Есть,18325539,4
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,20,4 кв 2022,Есть,27232000,1
Авиатика,Хорошевский,Э.К. Девелопмент,45.8,1,15,4 кв 2022,Есть,19068830,4
Авиатика,Хорошевский,Э.К. Девелопмент,56.3,2,9,4 кв 2022,Есть,21955986,0
Авиатика,Хорошевский,Э.К. Девелопмент,69.2,2,14,4 кв 2022,Есть,26053800,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,8,4 кв 2022,Есть,22129100,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,24,4 кв 2022,Есть,19640860,4
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,8,4 кв 2022,Есть,16043820,4
Авиатика,Хорошевский,Э.К. Девелопмент,57.8,2,8,4 кв 2022,Есть,21987120,0
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,12,4 кв 2022,Есть,16737270,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,22,4 кв 2022,Есть,26357280,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.2,2,20,4 кв 2022,Есть,23331344,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,8,4 кв 2022,Есть,17241120,4
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,10,4 кв 2022,Есть,15602855,4
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,24,4 кв 2022,Есть,22880300,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,22,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,15,4 кв 2022,Есть,11092020,3
Авиатика,Хорошевский,Э.К. Девелопмент,68.3,2,15,4 кв 2022,Есть,26954595,0
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,18,4 кв 2022,Есть,15602855,4
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,18,4 кв 2022,Есть,24531671,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.1,2,15,4 кв 2022,Есть,24507765,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,13,4 кв 2022,Есть,23515152,0
Авиатика,Хорошевский,Э.К. Девелопмент,46.4,1,16,4 кв 2022,Есть,19841428,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,16,4 кв 2022,Есть,8899930,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,11,4 кв 2022,Есть,8899930,3
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,16,4 кв 2022,Есть,16837087,4
Авиатика,Хорошевский,Э.К. Девелопмент,38.6,1,20,4 кв 2022,Есть,15405260,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,7,4 кв 2022,Есть,23515152,0
Авиатика,Хорошевский,Э.К. Девелопмент,88.8,3,2,4 кв 2022,Есть,25929600,1
Авиатика,Хорошевский,Э.К. Девелопмент,40.1,1,15,4 кв 2022,Есть,16003910,4
Авиатика,Хорошевский,Э.К. Девелопмент,106.4,4,10,4 кв 2022,Есть,31920000,2
Авиатика,Хорошевский,Э.К. Девелопмент,56.3,2,25,4 кв 2022,Есть,21137835,0
Авиатика,Хорошевский,Э.К. Девелопмент,105.5,4,10,4 кв 2022,Есть,30489500,2
Авиатика,Хорошевский,Э.К. Девелопмент,46.3,1,7,4 кв 2022,Есть,18476015,4
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,21,4 кв 2022,Есть,16043820,4
Авиатика,Хорошевский,Э.К. Девелопмент,45.8,1,11,4 кв 2022,Есть,19182551,4
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,14,4 кв 2022,Есть,26125700,1
Авиатика,Хорошевский,Э.К. Девелопмент,61.0,2,13,4 кв 2022,Есть,20282400,0
Авиатика,Хорошевский,Э.К. Девелопмент,44.4,1,15,4 кв 2022,Есть,18594720,4
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,5,4 кв 2022,Есть,21909000,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.6,1,15,4 кв 2022,Есть,18259680,4
Авиатика,Хорошевский,Э.К. Девелопмент,57.8,2,5,4 кв 2022,Есть,19074000,0
Авиатика,Хорошевский,Э.К. Девелопмент,66.3,2,12,4 кв 2022,Есть,21149700,0
Авиатика,Хорошевский,Э.К. Девелопмент,64.7,2,22,4 кв 2022,Есть,21282300,0
Авиатика,Хорошевский,Э.К. Девелопмент,61.6,2,18,4 кв 2022,Есть,23127720,0
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,9,4 кв 2022,Есть,21909000,0
Авиатика,Хорошевский,Э.К. Девелопмент,60.6,2,22,4 кв 2022,Есть,20339400,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,23,4 кв 2022,Есть,9535858,3
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,16,4 кв 2022,Есть,8899930,3
Авиатика,Хорошевский,Э.К. Девелопмент,63.3,2,6,4 кв 2022,Есть,19656399,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,11,4 кв 2022,Есть,18772386,4
Авиатика,Хорошевский,Э.К. Девелопмент,20.3,ст,17,4 кв 2022,Есть,8101730,3
Авиатика,Хорошевский,Э.К. Девелопмент,105.5,4,17,4 кв 2022,Есть,30700500,2
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,21,4 кв 2022,Есть,26976700,1
Авиатика,Хорошевский,Э.К. Девелопмент,68.3,2,9,4 кв 2022,Есть,26954595,0
Авиатика,Хорошевский,Э.К. Девелопмент,39.1,1,22,4 кв 2022,Есть,15602855,4
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,10,4 кв 2022,Есть,22105200,0
Авиатика,Хорошевский,Э.К. Девелопмент,58.6,2,12,4 кв 2022,Есть,22589362,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,11,4 кв 2022,Есть,18772386,4
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,16,4 кв 2022,Есть,26125700,1
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,20,4 кв 2022,Есть,20032000,0
Авиатика,Хорошевский,Э.К. Девелопмент,106.4,4,8,4 кв 2022,Есть,31494400,2
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,10,4 кв 2022,Есть,20322900,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,6,4 кв 2022,Есть,19656400,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,9,4 кв 2022,Есть,8899930,3
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,3,4 кв 2022,Есть,19593800,0
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,14,4 кв 2022,Есть,20380800,0
Авиатика,Хорошевский,Э.К. Девелопмент,69.2,2,18,4 кв 2022,Есть,24095508,0
Авиатика,Хорошевский,Э.К. Девелопмент,85.1,3,10,4 кв 2022,Есть,26040600,1
Авиатика,Хорошевский,Э.К. Девелопмент,66.3,2,6,4 кв 2022,Есть,21083400,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,14,4 кв 2022,Есть,19844200,0
Авиатика,Хорошевский,Э.К. Девелопмент,96.2,3,2,4 кв 2022,Есть,27994200,1
Авиатика,Хорошевский,Э.К. Девелопмент,85.8,3,17,4 кв 2022,Есть,26340600,1
Авиатика,Хорошевский,Э.К. Девелопмент,46.0,1,8,4 кв 2022,Есть,17170696,4
Авиатика,Хорошевский,Э.К. Девелопмент,61.6,2,24,4 кв 2022,Есть,21621600,0
Авиатика,Хорошевский,Э.К. Девелопмент,84.2,3,20,4 кв 2022,Есть,26597999,1
Авиатика,Хорошевский,Э.К. Девелопмент,65.4,2,10,4 кв 2022,Есть,22039800,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,16,4 кв 2022,Есть,14991850,4
Авиатика,Хорошевский,Э.К. Девелопмент,62.7,2,9,4 кв 2022,Есть,21380700,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.2,2,21,4 кв 2022,Есть,20277200,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,25,4 кв 2022,Есть,23529600,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.2,2,15,4 кв 2022,Есть,20028400,0
Авиатика,Хорошевский,Э.К. Девелопмент,56.2,2,7,4 кв 2022,Есть,19247399,0
Авиатика,Хорошевский,Э.К. Девелопмент,85.8,3,10,4 кв 2022,Есть,26340600,1
Авиатика,Хорошевский,Э.К. Девелопмент,40.1,1,11,4 кв 2022,Есть,14195400,4
Авиатика,Хорошевский,Э.К. Девелопмент,66.3,2,15,4 кв 2022,Есть,21216000,0
Авиатика,Хорошевский,Э.К. Девелопмент,57.9,2,20,4 кв 2022,Есть,20612400,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.1,2,4,4 кв 2022,Есть,21735000,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,25,4 кв 2022,Есть,22551539,0
Авиатика,Хорошевский,Э.К. Девелопмент,46.0,1,11,4 кв 2022,Есть,16422000,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,5,4 кв 2022,Есть,22551539,0
Авиатика,Хорошевский,Э.К. Девелопмент,69.2,2,5,4 кв 2022,Есть,24235361,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.1,2,17,4 кв 2022,Есть,21735000,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,18,4 кв 2022,Есть,9076100,3
Авиатика,Хорошевский,Э.К. Девелопмент,40.1,1,8,4 кв 2022,Есть,13754300,4
Авиатика,Хорошевский,Э.К. Девелопмент,62.7,2,20,4 кв 2022,Есть,21413491,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,19,4 кв 2022,Есть,9076100,3
Авиатика,Хорошевский,Э.К. Девелопмент,62.2,2,10,4 кв 2022,Есть,19904000,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,6,4 кв 2022,Есть,22551539,0
Авиатика,Хорошевский,Э.К. Девелопмент,40.1,1,16,4 кв 2022,Есть,14195400,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.2,ст,20,4 кв 2022,Есть,9035400,3
Авиатика,Хорошевский,Э.К. Девелопмент,45.8,1,20,4 кв 2022,Есть,16350599,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.8,2,8,4 кв 2022,Есть,22551539,0
Авиатика,Хорошевский,Э.К. Девелопмент,43.9,1,10,4 кв 2022,Есть,14969900,4
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,6,4 кв 2022,Есть,14342400,4
Авиатика,Хорошевский,Э.К. Девелопмент,69.2,2,25,4 кв 2022,Есть,24235361,0
Авиатика,Хорошевский,Э.К. Девелопмент,62.6,2,10,4 кв 2022,Есть,20519277,0
Авиатика,Хорошевский,Э.К. Девелопмент,64.7,2,9,4 кв 2022,Есть,21083399,0
Авиатика,Хорошевский,Э.К. Девелопмент,96.2,3,8,4 кв 2022,Есть,30447300,1
Авиатика,Хорошевский,Э.К. Девелопмент,57.8,2,4,4 кв 2022,Есть,18945914,0
Авиатика,Хорошевский,Э.К. Девелопмент,68.3,2,8,4 кв 2022,Есть,23905000,0
Авиатика,Хорошевский,Э.К. Девелопмент,40.2,1,18,4 кв 2022,Есть,14029800,4
Авиатика,Хорошевский,Э.К. Девелопмент,68.3,2,25,4 кв 2022,Есть,23905000,0
Авиатика,Хорошевский,Э.К. Девелопмент,67.2,2,14,4 кв 2022,Есть,22027085,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.2,ст,17,4 кв 2022,Есть,7581300,3
Авиатика,Хорошевский,Э.К. Девелопмент,66.3,2,3,4 кв 2022,Есть,21538814,0
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,18,4 кв 2022,Есть,9076100,3
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,11,4 кв 2022,Есть,13953600,4
Авиатика,Хорошевский,Э.К. Девелопмент,22.3,ст,21,4 кв 2022,Есть,7987994,3
Авиатика,Хорошевский,Э.К. Девелопмент,43.2,1,23,4 кв 2022,Есть,15474499,4
Ай Лав,Останкинский,КОРТРОС,46.0,1,3,4 кв 2023,Нет,19353370,5
Ай Лав,Останкинский,КОРТРОС,57.6,3,7,2 кв 2022,Неизвестно,25231968,8
Ай Лав,Останкинский,КОРТРОС,66.7,2,10,4 кв 2023,Нет,26224889,6
Ай Лав,Останкинский,КОРТРОС,38.8,1,30,4 кв 2023,Нет,17450999,5
Ай Лав,Останкинский,КОРТРОС,61.7,2,11,2 кв 2022,Неизвестно,27527119,7
Ай Лав,Останкинский,КОРТРОС,37.9,1,8,3 кв 2024,Нет,15005179,5
Ай Лав,Останкинский,КОРТРОС,64.4,2,31,4 кв 2023,Нет,23062359,6
Ай Лав,Останкинский,КОРТРОС,38.6,1,31,4 кв 2023,Нет,16924319,5
Ай Лав,Останкинский,КОРТРОС,40.3,1,23,4 кв 2023,Нет,17961669,5
Ай Лав,Останкинский,КОРТРОС,98.4,3,30,2 кв 2022,Неизвестно,35241520,8
Ай Лав,Останкинский,КОРТРОС,43.4,1,9,4 кв 2023,Нет,19107718,5
Ай Лав,Останкинский,КОРТРОС,70.2,3,7,4 кв 2023,Нет,29843499,9
Ай Лав,Останкинский,КОРТРОС,98.8,4,9,3 кв 2024,Нет,29744820,10
Ай Лав,Останкинский,КОРТРОС,129.3,4,4,2 кв 2022,Неизвестно,52487679,11
Ай Лав,Останкинский,КОРТРОС,72.3,2,11,2 кв 2022,Неизвестно,38690640,7
Ай Лав,Останкинский,КОРТРОС,99.4,3,32,2 кв 2022,Неизвестно,36093089,8
Ай Лав,Останкинский,КОРТРОС,43.6,1,7,2 кв 2022,Неизвестно,21928097,12
Ай Лав,Останкинский,КОРТРОС,98.5,3,31,2 кв 2022,Неизвестно,35572940,8
Ай Лав,Останкинский,КОРТРОС,38.6,1,30,4 кв 2023,Нет,17451000,5
Ай Лав,Останкинский,КОРТРОС,60.4,3,17,3 кв 2024,Нет,23861950,9
Ай Лав,Останкинский,КОРТРОС,58.1,2,10,4 кв 2023,Нет,21055730,6
Ай Лав,Останкинский,КОРТРОС,98.4,3,1,2 кв 2022,Неизвестно,42592440,8
Ай Лав,Останкинский,КОРТРОС,57.6,3,17,3 кв 2024,Нет,20174000,9
Ай Лав,Останкинский,КОРТРОС,68.6,2,10,4 кв 2023,Нет,24562380,6
Ай Лав,Останкинский,КОРТРОС,60.4,3,16,3 кв 2024,Нет,23741129,9
Ай Лав,Останкинский,КОРТРОС,64.7,2,33,4 кв 2023,Нет,24634265,6
Ай Лав,Останкинский,КОРТРОС,96.3,3,6,4 кв 2023,Нет,29663480,9
Ай Лав,Останкинский,КОРТРОС,69.4,3,32,4 кв 2023,Нет,25762240,9
Ай Лав,Останкинский,КОРТРОС,73.2,3,17,3 кв 2024,Нет,28844314,9
Ай Лав,Останкинский,КОРТРОС,73.8,3,29,4 кв 2023,Нет,28960743,9
Ай Лав,Останкинский,КОРТРОС,99.5,3,4,2 кв 2022,Неизвестно,39738409,8
Ай Лав,Останкинский,КОРТРОС,98.5,3,27,2 кв 2022,Неизвестно,34457499,8
Ай Лав,Останкинский,КОРТРОС,69.4,3,31,4 кв 2023,Нет,25067840,9
Ай Лав,Останкинский,КОРТРОС,64.7,2,11,4 кв 2023,Нет,23140473,6
Ай Лав,Останкинский,КОРТРОС,95.3,3,31,4 кв 2023,Нет,33926800,9
Ай Лав,Останкинский,КОРТРОС,57.6,3,20,3 кв 2024,Нет,20808039,9
Ай Лав,Останкинский,КОРТРОС,74.3,3,5,4 кв 2023,Нет,22964879,9
Ай Лав,Останкинский,КОРТРОС,29.6,1,5,2 кв 2022,Неизвестно,14886965,12
Ай Лав,Останкинский,КОРТРОС,64.4,2,30,4 кв 2023,Нет,22224900,6
Ай Лав,Останкинский,КОРТРОС,100.3,4,17,3 кв 2024,Нет,31585050,10
Ай Лав,Останкинский,КОРТРОС,100.3,4,16,3 кв 2024,Нет,31384510,10
Ай Лав,Останкинский,КОРТРОС,100.3,3,12,2 кв 2022,Неизвестно,32590999,8
Ай Лав,Останкинский,КОРТРОС,38.8,1,28,4 кв 2023,Нет,15597599,5
Ай Лав,Останкинский,КОРТРОС,104.8,4,23,4 кв 2023,Нет,33735939,10
Ай Лав,Останкинский,КОРТРОС,74.3,3,6,4 кв 2023,Нет,22295999,9
Ай Лав,Останкинский,КОРТРОС,41.5,1,2,4 кв 2023,Нет,18163388,5
Ай Лав,Останкинский,КОРТРОС,73.8,3,30,4 кв 2023,Нет,26427560,9
Ай Лав,Останкинский,КОРТРОС,57.4,2,9,4 кв 2023,Нет,19759360,6
Ай Лав,Останкинский,КОРТРОС,73.2,3,20,3 кв 2024,Нет,28081936,9
Ай Лав,Останкинский,КОРТРОС,73.8,3,31,4 кв 2023,Нет,25910820,9
Ай Лав,Останкинский,КОРТРОС,74.7,3,11,4 кв 2023,Нет,28150096,9
Ай Лав,Останкинский,КОРТРОС,118.9,4,2,3 кв 2024,Нет,37105004,10
Ай Лав,Останкинский,КОРТРОС,73.8,3,27,4 кв 2023,Нет,25024979,9
Ай Лав,Останкинский,КОРТРОС,60.4,3,13,3 кв 2024,Нет,21687190,9
Ай Лав,Останкинский,КОРТРОС,118.9,4,14,3 кв 2024,Нет,36499230,10
Ай Лав,Останкинский,КОРТРОС,60.4,3,15,3 кв 2024,Нет,22714160,9
Ай Лав,Останкинский,КОРТРОС,57.6,3,16,3 кв 2024,Нет,20058720,9
Ай Лав,Останкинский,КОРТРОС,96.0,3,4,4 кв 2023,Нет,27828400,9
Ай Лав,Останкинский,КОРТРОС,56.1,2,34,4 кв 2023,Нет,19876791,6
Ай Лав,Останкинский,КОРТРОС,37.9,1,5,3 кв 2024,Нет,14754770,5
Ай Лав,Останкинский,КОРТРОС,49.7,2,11,2 кв 2022,Неизвестно,25436160,7
Ай Лав,Останкинский,КОРТРОС,118.9,4,13,3 кв 2024,Нет,35072549,10
Ай Лав,Останкинский,КОРТРОС,38.0,1,6,3 кв 2024,Нет,14979879,5
Ай Лав,Останкинский,КОРТРОС,73.2,3,11,3 кв 2024,Нет,22173539,9
Ай Лав,Останкинский,КОРТРОС,58.1,2,9,4 кв 2023,Нет,20187309,6
Ай Лав,Останкинский,КОРТРОС,69.0,3,8,3 кв 2024,Нет,20622030,9
Ай Лав,Останкинский,КОРТРОС,64.7,2,32,4 кв 2023,Нет,23356700,6
Ай Лав,Останкинский,КОРТРОС,38.8,1,26,4 кв 2023,Нет,15442399,5
Ай Лав,Останкинский,КОРТРОС,69.0,3,4,3 кв 2024,Нет,20346149,9
Ай Лав,Останкинский,КОРТРОС,63.9,2,23,2 кв 2022,Неизвестно,30473335,7
Ай Лав,Останкинский,КОРТРОС,46.4,2,11,2 кв 2022,Неизвестно,24926580,7
Ай Лав,Останкинский,КОРТРОС,112.2,4,1,4 кв 2023,Нет,35096497,10
Ай Лав,Останкинский,КОРТРОС,123.7,4,7,4 кв 2023,Нет,38693731,10
Ай Лав,Останкинский,КОРТРОС,113.2,4,10,4 кв 2023,Нет,36337200,10
Ай Лав,Останкинский,КОРТРОС,64.4,2,28,4 кв 2023,Нет,21129760,6
Ай Лав,Останкинский,КОРТРОС,38.8,1,29,4 кв 2023,Нет,15628339,5
Ай Лав,Останкинский,КОРТРОС,70.5,3,2,3 кв 2024,Нет,20362940,9
Ай Лав,Останкинский,КОРТРОС,41.5,1,3,4 кв 2023,Нет,17049984,5
Ай Лав,Останкинский,КОРТРОС,102.6,3,33,2 кв 2022,Неизвестно,37452649,8
Ай Лав,Останкинский,КОРТРОС,98.5,3,33,2 кв 2022,Неизвестно,36361259,8
Ай Лав,Останкинский,КОРТРОС,60.4,3,3,3 кв 2024,Нет,19572840,9
Ай Лав,Останкинский,КОРТРОС,37.8,1,8,4 кв 2023,Нет,15529864,5
Академика Павлова,Кунцево,ПИК,36.4,1,28,1 кв 2024,Есть,14024920,4
Академика Павлова,Кунцево,ПИК,59.4,2,5,1 кв 2024,Есть,20593980,0
Академика Павлова,Кунцево,ПИК,41.5,1,9,1 кв 2024,Есть,14898500,4
Академика Павлова,Кунцево,ПИК,50.4,2,14,1 кв 2024,Есть,17927280,0
Академика Павлова,Кунцево,ПИК,23.5,ст,13,1 кв 2024,Есть,9143850,3
Академика Павлова,Кунцево,ПИК,41.8,1,10,1 кв 2024,Есть,15336419,4
Академика Павлова,Кунцево,ПИК,23.5,ст,10,1 кв 2024,Есть,9019300,3
Академика Павлова,Кунцево,ПИК,23.5,ст,23,1 кв 2024,Есть,9298950,3
Академика Павлова,Кунцево,ПИК,36.4,1,15,1 кв 2024,Есть,13759200,4
Академика Павлова,Кунцево,ПИК,36.2,1,3,1 кв 2024,Есть,13299880,4
Академика Павлова,Кунцево,ПИК,25.4,ст,32,1 кв 2024,Есть,10746740,3
Академика Павлова,Кунцево,ПИК,59.4,2,28,1 кв 2024,Есть,21009780,0
Академика Павлова,Кунцево,ПИК,59.6,2,6,1 кв 2024,Есть,19882560,0
Академика Павлова,Кунцево,ПИК,42.9,1,12,1 кв 2023,Есть,17052750,4
Академика Павлова,Кунцево,ПИК,41.8,1,5,1 кв 2024,Есть,15194299,4
Академика Павлова,Кунцево,ПИК,23.5,ст,12,1 кв 2024,Есть,9056900,3
Академика Павлова,Кунцево,ПИК,39.9,1,10,1 кв 2024,Есть,13773480,4
